"","Strain","Cu_level","Bio_rep","Cellular_C","Cellular_N","Cells","Phosph","Sulfur","Copper","Iron","Zinc","Manganese","Cobalt","Cu_P","Fe_P","Zn_P","Mn_P","Co_P","Cellular_P","Cellular_S","Cellular_Cu","Cellular_Fe","Cellular_Zn","Cellular_Mn","Cellular_Co","Cu_C","Fe_C","Zn_C","Mn_C","Co_C","C_P","N_P","S_P","P_C","N_C","S_C"
"1","Dokd_P16",0.6,"R1",8e-15,1.6e-15,1.89e+09,2.93e-07,1.78e-07,3.11e-08,1.12e-06,1.89e-07,7.61e-08,4.63e-09,0.106143345,3.822525597,0.645051195,0.259726962,0.015802048,1.55e-16,9.42e-17,1.65e-20,5.93e-19,1e-19,4.03e-20,2.45e-21,2.056878307,74.07407407,12.5,5.033068783,0.306216931,51.6129032258065,10.3225806451613,0.607741935483871,0.019375,0.2,0.011775
"2","Dokd_P16",0.6,"R1",9.3e-15,2e-15,1.89e+09,2.97e-07,2.05e-07,1.81e-08,1.01e-06,1.6e-07,1.11e-07,4.41e-09,0.060942761,3.400673401,0.538720539,0.373737374,0.014848485,1.57e-16,1.08e-16,9.58e-21,5.34e-19,8.47e-20,5.87e-20,2.33e-21,1.029754793,57.46145531,9.102804802,6.315070831,0.250896057,59.2356687898089,12.7388535031847,0.687898089171974,0.0168817204301075,0.21505376344086,0.0116129032258065
"3","Dokd_P16",0.6,"R3",8.9e-15,1.6e-15,9.02e+08,1.83e-07,1.9e-07,7.99e-09,9.43e-07,3.35e-07,7.15e-08,2.82e-09,0.043661202,5.153005464,1.830601093,0.390710383,0.015409836,2.03e-16,2.11e-16,8.86e-21,1.05e-18,3.71e-19,7.93e-20,3.13e-21,0.995291363,117.4668029,41.72998829,8.90654974,0.351279304,43.8423645320197,7.88177339901478,1.03940886699507,0.0228089887640449,0.179775280898876,0.0237078651685393
"4","Dokd_P16",0.6,"R4",1.1e-14,2.5e-15,9.44e+08,2.82e-07,2.15e-07,1.15e-08,1.95e-06,4.02e-07,7.98e-08,5.9e-09,0.040780142,6.914893617,1.425531915,0.282978723,0.020921986,2.99e-16,2.28e-16,1.22e-20,2.07e-18,4.26e-19,8.45e-20,6.25e-21,1.107473035,187.788906,38.71340524,7.684899846,0.568181818,36.7892976588629,8.36120401337793,0.762541806020067,0.0271818181818182,0.227272727272727,0.0207272727272727
"5","Dokd_P16",2,"R1",1.03e-14,2.29e-15,3.31e+08,1.94e-07,1.47e-07,1.43e-08,8.04e-07,2.87e-07,8.22e-08,4e-09,0.07371134,4.144329897,1.479381443,0.42371134,0.020618557,5.86e-16,4.44e-16,4.32e-20,2.43e-18,8.67e-19,2.48e-19,1.21e-20,4.19440941,235.825536,84.18150353,24.11052122,1.173261373,17.5767918088737,3.90784982935154,0.757679180887372,0.0568932038834951,0.222330097087379,0.0431067961165049
"6","Dokd_P16",2,"R3",1.14e-14,2.69e-15,NA,2.08e-07,3.97e-07,1.53e-08,7.81e-07,2.4e-07,1.23e-07,4.61e-09,0.073557692,3.754807692,1.153846154,0.591346154,0.022163462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235964912280702,NA
"7","Dokd_P16",2,"R3",1.2e-14,2.76e-15,2.98e+09,2.15e-07,1.57e-07,1.52e-08,7.18e-07,1.94e-07,1.07e-07,4.17e-09,0.070697674,3.339534884,0.902325581,0.497674419,0.019395349,7.21e-17,5.27e-17,5.1e-21,2.41e-19,6.51e-20,3.59e-20,1.4e-21,0.425055928,20.07829978,5.425055928,2.992170022,0.116610738,166.435506241331,38.2801664355062,0.730929264909847,0.00600833333333333,0.23,0.00439166666666667
"8","Dokd_P16",2,"R2",1.14e-14,2.69e-15,2.38e+09,1.74e-07,1.57e-07,9.4e-09,6.32e-07,1.89e-07,8.12e-08,3.07e-09,0.054022989,3.632183908,1.086206897,0.466666667,0.017643678,7.31e-17,6.6e-17,3.95e-21,2.66e-19,7.94e-20,3.41e-20,1.29e-21,0.346454371,23.29352794,6.965944272,2.992776058,0.113150523,155.950752393981,36.7989056087551,0.902872777017784,0.00641228070175438,0.235964912280702,0.00578947368421053
"9","Dokd_P16",2,"R2",NA,NA,1.22e+09,2.23e-07,1.64e-07,2.54e-08,6.93e-07,1.4e-07,7.76e-08,3.81e-09,0.113901345,3.107623318,0.627802691,0.347982063,0.017085202,1.83e-16,1.34e-16,2.08e-20,5.68e-19,1.15e-19,6.36e-20,3.12e-21,NA,NA,NA,NA,NA,NA,NA,0.73224043715847,NA,NA,NA
"10","Dokd_P16",2,"R1",5.76e-15,1.24e-15,2.29e+09,1.59e-07,2.38e-07,1.07e-08,5.58e-07,1.06e-07,1.21e-07,3.34e-09,0.067295597,3.509433962,0.666666667,0.761006289,0.021006289,6.94e-17,1.04e-16,4.67e-21,2.44e-19,4.63e-20,5.28e-20,1.46e-21,0.811196021,42.30349345,8.036147501,9.173338185,0.253214459,82.9971181556196,17.8674351585014,1.4985590778098,0.0120486111111111,0.215277777777778,0.0180555555555556
