Experiment,Strain,Cu_prime,pCu,Cu_total,Bio_rep,mu_min,mu_day
GR,R.pomeroyi,4.61,15.49,0.6,R1,0.0043,6.192
GR,R.pomeroyi,4.61,15.49,0.6,R2,0.0028,4.032
GR,R.pomeroyi,4.61,15.49,0.6,R3,0.0034,4.896
GR,R.pomeroyi,4.61,15.49,0.6,R4,0.0035,5.04
GR,R.pomeroyi,4.61,15.49,0.6,R1,0.0038,5.472
GR,R.pomeroyi,388.89,13.57,50,R1,0.0039,5.616
GR,R.pomeroyi,388.89,13.57,50,R2,0.0041,5.904
GR,R.pomeroyi,388.89,13.57,50,R3,0.0042,6.048
GR,R.pomeroyi,81.43,14.25,10,R2,0.0023,3.312
GR,R.pomeroyi,81.43,14.25,10,R1,0.0027,3.888
GR,R.pomeroyi,81.43,14.25,10,R3,0.0021,3.024
Q,R.pomeroyi,4.61,15.49,0.6,R1,0.0025,3.6
Q,R.pomeroyi,4.61,15.49,0.6,R2,0.0026,3.744
Q,R.pomeroyi,4.61,15.49,0.6,R3,0.0016,2.304
Q,R.pomeroyi,19.79,14.86,2,R1,0.0036,5.184
Q,R.pomeroyi,19.79,14.86,2,R2,0.0044,6.336
Q,R.pomeroyi,19.79,14.86,2,R3,0.0039,5.616
Q,R.pomeroyi,19.79,14.86,2,R4,0.0033,4.752
Q,R.pomeroyi,81.43,14.25,10,R1,0.0031,4.464
Q,R.pomeroyi,81.43,14.25,10,R2,0.0024,3.456
Q,R.pomeroyi,81.43,14.25,10,R3,0.0037,5.328
Q,R.pomeroyi,204.39,13.85,25,R1,0.0031,4.464
Q,R.pomeroyi,204.39,13.85,25,R2,0.0024,3.456
Q,R.pomeroyi,204.39,13.85,25,R3,0.0027,3.888
Q,R.pomeroyi,388.89,13.57,50,R1,0.0027,3.888
Q,R.pomeroyi,388.89,13.57,50,R2,0.0035,5.04
Q,R.pomeroyi,388.89,13.57,50,R3,0.0044,6.336
O2,R.pomeroyi,4.61,15.49,0.6,R1,0.0033,4.752
O2,R.pomeroyi,4.61,15.49,0.6,R2,0.0034,4.896
O2,R.pomeroyi,4.61,15.49,0.6,R3,0.0046,6.624
O2,R.pomeroyi,81.43,14.25,10,R1,0.0037,5.328
O2,R.pomeroyi,81.43,14.25,10,R2,0.0038,5.472
O2,R.pomeroyi,81.43,14.25,10,R3,0.0038,5.472
O2,R.pomeroyi,388.89,13.57,50,R1,0.0032,4.608
O2,R.pomeroyi,388.89,13.57,50,R2,0.0037,5.328
O2,R.pomeroyi,388.89,13.57,50,R3,0.0045,6.48
GR,Pseudoalteromonas(P4),4.61,15.49,0.6,1,0.007,10.08
GR,Pseudoalteromonas(P4),4.61,15.49,0.6,2,0.0089,12.816
GR,Pseudoalteromonas(P4),4.61,15.49,0.6,3,0.007,10.08
GR,Pseudoalteromonas(P4),4.61,15.49,0.6,4,0.0073,10.512
GR,Pseudoalteromonas(P4),4.61,15.49,0.6,5,0.0091,13.104
GR,Pseudoalteromonas(P4),4.61,15.49,0.6,6,0.0054,7.776
GR,Pseudoalteromonas(P4),4.61,15.49,0.6,7,0.0085,12.24
GR,Pseudoalteromonas(P4),4.61,15.49,0.6,8,0.0072,10.368
