Strain,Cu_level,Macronutrient,Quota_mol_cell,Quota_fmol_cell
Dokonia sp,0.6,Carbon,NA,NA
Dokonia sp,0.6,Carbon,NA,NA
Dokonia sp,0.6,Carbon,7.96E-15,7.96
Dokonia sp,0.6,Carbon,1.08E-14,10.8
Dokonia sp,0.6,Carbon,9.30E-15,9.3
Dokonia sp,0.6,Carbon,8.94E-15,8.94
Dokonia sp,2,Carbon,1.51E-14,15.1
Dokonia sp,2,Carbon,1.37E-14,13.7
Dokonia sp,2,Carbon,1.61E-14,16.1
Dokonia sp,2,Carbon,1.03E-14,10.3
Dokonia sp,2,Carbon,1.23E-14,12.3
Dokonia sp,2,Carbon,1.20E-14,12
Dokonia sp,2,Carbon,1.14E-14,11.4
Dokonia sp,2,Carbon,6.36E-15,6.36
Dokonia sp,2,Carbon,5.97E-15,5.97
Dokonia sp,2,Carbon,5.76E-15,5.76
Dokonia sp,10,Carbon,6.04E-15,6.04
Dokonia sp,10,Carbon,7.73E-15,7.73
Dokonia sp,10,Carbon,8.91E-15,8.91
Dokonia sp,10,Carbon,7.14E-15,7.14
Dokonia sp,10,Carbon,8.20E-15,8.2
Dokonia sp,10,Carbon,8.56E-15,8.56
Dokonia sp,10,Carbon,6.82E-15,6.82
Dokonia sp,10,Carbon,6.61E-15,6.61
Dokonia sp,10,Carbon,8.23E-15,8.23
Dokonia sp,10,Carbon,8.21E-15,8.21
Dokonia sp,10,Carbon,9.35E-15,9.35
Dokonia sp,10,Carbon,6.28E-15,6.28
Dokonia sp,10,Carbon,7.04E-15,7.04
Dokonia sp,10,Carbon,6.48E-15,6.48
Dokonia sp,10,Carbon,6.87E-15,6.87
Dokonia sp,25,Carbon,1.12E-14,11.2
Dokonia sp,25,Carbon,9.32E-15,9.32
Dokonia sp,25,Carbon,6.86E-15,6.86
Dokonia sp,25,Carbon,7.17E-15,7.17
Dokonia sp,25,Carbon,6.69E-15,6.69
Dokonia sp,25,Carbon,7.45E-15,7.45
Dokonia sp,25,Carbon,6.30E-15,6.3
Dokonia sp,25,Carbon,8.59E-15,8.59
Dokonia sp,25,Carbon,1.11E-14,11.1
Dokonia sp,50,Carbon,1.18E-14,11.8
Dokonia sp,50,Carbon,8.68E-15,8.68
Dokonia sp,50,Carbon,7.36E-15,7.36
Dokonia sp,50,Carbon,8.19E-15,8.19
Dokonia sp,50,Carbon,7.60E-15,7.6
Dokonia sp,50,Carbon,7.21E-15,7.21
Dokonia sp,50,Carbon,7.69E-15,7.69
Dokonia sp,50,Carbon,6.53E-15,6.53
Dokonia sp,50,Carbon,7.22E-15,7.22
R.pomeroyi,0.6,Carbon,2.63E-14,26.3
R.pomeroyi,0.6,Carbon,1.49E-14,14.9
R.pomeroyi,0.6,Carbon,2.20E-14,22
R.pomeroyi,0.6,Carbon,1.68E-14,16.8
R.pomeroyi,0.6,Carbon,1.80E-14,18
R.pomeroyi,0.6,Carbon,1.46E-14,14.6
R.pomeroyi,0.6,Carbon,1.69E-14,16.9
R.pomeroyi,2,Carbon,1.74E-14,17.4
R.pomeroyi,2,Carbon,1.50E-14,15
R.pomeroyi,2,Carbon,1.47E-14,14.7
R.pomeroyi,2,Carbon,1.42E-14,14.2
R.pomeroyi,10,Carbon,1.48E-14,14.8
R.pomeroyi,10,Carbon,2.37E-14,23.7
R.pomeroyi,10,Carbon,1.60E-14,16
R.pomeroyi,10,Carbon,1.52E-14,15.2
R.pomeroyi,10,Carbon,1.43E-14,14.3
R.pomeroyi,10,Carbon,2.05E-14,20.5
R.pomeroyi,10,Carbon,2.04E-14,20.4
R.pomeroyi,25,Carbon,1.38E-14,13.8
R.pomeroyi,25,Carbon,1.39E-14,13.9
R.pomeroyi,25,Carbon,1.46E-14,14.6
R.pomeroyi,50,Carbon,1.46E-14,14.6
R.pomeroyi,50,Carbon,1.57E-14,15.7
R.pomeroyi,50,Carbon,1.53E-14,15.3
R.pomeroyi,50,Carbon,1.49E-14,14.9
R.pomeroyi,50,Carbon,1.55E-14,15.5
R.pomeroyi,50,Carbon,1.46E-14,14.6
Pseudoalteromonas sp (26),0.6,Carbon,3.12E-14,31.2
Pseudoalteromonas sp (26),0.6,Carbon,3.28E-14,32.8
Pseudoalteromonas sp (26),0.6,Carbon,2.07E-14,20.7
Pseudoalteromonas sp (26),0.6,Carbon,2.35E-14,23.5
Pseudoalteromonas sp (26),0.6,Carbon,2.64E-14,26.4
Pseudoalteromonas sp (26),0.6,Carbon,2.29E-14,22.9
Pseudoalteromonas sp (26),2,Carbon,2.48E-14,24.8
Pseudoalteromonas sp (26),2,Carbon,2.87E-14,28.7
Pseudoalteromonas sp (26),2,Carbon,3.19E-14,31.9
Pseudoalteromonas sp (26),10,Carbon,2.23E-14,22.3
Pseudoalteromonas sp (26),10,Carbon,2.10E-14,21
Pseudoalteromonas sp (26),10,Carbon,2.04E-14,20.4
Pseudoalteromonas sp (26),10,Carbon,5.88E-14,58.8
Pseudoalteromonas sp (26),10,Carbon,2.80E-14,28
Pseudoalteromonas sp (26),10,Carbon,3.07E-14,30.7
Pseudoalteromonas sp (26),25,Carbon,2.27E-14,22.7
Pseudoalteromonas sp (26),25,Carbon,2.23E-14,22.3
Pseudoalteromonas sp (26),25,Carbon,2.12E-14,21.2
Pseudoalteromonas sp (26),50,Carbon,2.04E-14,20.4
Pseudoalteromonas sp (26),50,Carbon,2.96E-14,29.6
Pseudoalteromonas sp (26),50,Carbon,2.26E-14,22.6
Pseudoalteromonas sp (26),50,Carbon,NA,NA
Pseudoalteromonas sp (26),50,Carbon,2.06E-14,20.6
Pseudoalteromonas sp (26),50,Carbon,3.93E-14,39.3
Pseudoalteromonas sp (P2),0.6,Carbon,2.37E-14,23.7
Pseudoalteromonas sp (P2),0.6,Carbon,2.56E-14,25.6
Pseudoalteromonas sp (P2),0.6,Carbon,7.03E-15,7.03
Pseudoalteromonas sp (P2),10,Carbon,2.90E-14,29
Pseudoalteromonas sp (P2),10,Carbon,2.14E-14,21.4
Pseudoalteromonas sp (P2),10,Carbon,2.37E-14,23.7
Pseudoalteromonas sp (P2),25,Carbon,2.25E-14,22.5
Pseudoalteromonas sp (P2),25,Carbon,2.21E-14,22.1
Pseudoalteromonas sp (P2),25,Carbon,2.02E-14,20.2
Dokonia sp,0.6,Nitrogen,NA,NA
Dokonia sp,0.6,Nitrogen,NA,NA
Dokonia sp,0.6,Nitrogen,1.64E-15,1.64
Dokonia sp,0.6,Nitrogen,2.53E-15,2.53
Dokonia sp,0.6,Nitrogen,2.00E-15,2
Dokonia sp,0.6,Nitrogen,1.60E-15,1.6
Dokonia sp,2,Nitrogen,3.45E-15,3.45
Dokonia sp,2,Nitrogen,3.34E-15,3.34
Dokonia sp,2,Nitrogen,3.46E-15,3.46
Dokonia sp,2,Nitrogen,2.29E-15,2.29
Dokonia sp,2,Nitrogen,2.92E-15,2.92
Dokonia sp,2,Nitrogen,2.76E-15,2.76
Dokonia sp,2,Nitrogen,2.69E-15,2.69
Dokonia sp,2,Nitrogen,1.72E-15,1.72
Dokonia sp,2,Nitrogen,1.09E-15,1.09
Dokonia sp,2,Nitrogen,1.24E-15,1.24
Dokonia sp,10,Nitrogen,1.30E-15,1.3
Dokonia sp,10,Nitrogen,1.62E-15,1.62
Dokonia sp,10,Nitrogen,2.09E-15,2.09
Dokonia sp,10,Nitrogen,1.63E-15,1.63
Dokonia sp,10,Nitrogen,2.63E-15,2.63
Dokonia sp,10,Nitrogen,2.08E-15,2.08
Dokonia sp,10,Nitrogen,1.48E-15,1.48
Dokonia sp,10,Nitrogen,1.41E-15,1.41
Dokonia sp,10,Nitrogen,2.00E-15,2
Dokonia sp,10,Nitrogen,1.72E-15,1.72
Dokonia sp,10,Nitrogen,2.11E-15,2.11
Dokonia sp,10,Nitrogen,1.47E-15,1.47
Dokonia sp,10,Nitrogen,1.64E-15,1.64
