"","Strain","Cu_level","Category","Value"
"1","Dokd_P16",0.6,"BR_cell_day",50.04
"2","Dokd_P16",0.6,"BR_cell_day",42.072
"3","Dokd_P16",0.6,"BR_cell_day",41.76
"4","Dokd_P16",10,"BR_cell_day",30.168
"5","Dokd_P16",10,"BR_cell_day",34.224
"6","Dokd_P16",10,"BR_cell_day",27.36
"7","Dokd_P16",2,"BR_cell_day",41.64
"8","Dokd_P16",2,"BR_cell_day",42.24
"9","Dokd_P16",2,"BR_cell_day",47.28
"10","Dokd_P16",25,"BR_cell_day",82.2
"11","Dokd_P16",25,"BR_cell_day",68.76
"12","Dokd_P16",25,"BR_cell_day",56.4
"13","Dokd_P16",50,"BR_cell_day",60.36
"14","Dokd_P16",50,"BR_cell_day",54.36
"15","Dokd_P16",50,"BR_cell_day",58.08
"16","PAlt_P26",0.6,"BR_cell_day",412.776
"17","PAlt_P26",0.6,"BR_cell_day",453.96
"18","PAlt_P26",0.6,"BR_cell_day",436.248
"19","PAlt_P26",10,"BR_cell_day",298.032
"20","PAlt_P26",10,"BR_cell_day",291.72
"21","PAlt_P26",10,"BR_cell_day",305.424
"22","PAlt_P26",25,"BR_cell_day",597.192
"23","PAlt_P26",25,"BR_cell_day",219.792
"24","PAlt_P26",25,"BR_cell_day",348.96
"25","PAlt_P26",50,"BR_cell_day",396.312
"26","PAlt_P26",50,"BR_cell_day",297.984
"27","PAlt_P26",50,"BR_cell_day",381.624
"28","R.pomeroyi",0.6,"BR_cell_day",146.568
"29","R.pomeroyi",0.6,"BR_cell_day",171.168
"30","R.pomeroyi",0.6,"BR_cell_day",114.312
"31","R.pomeroyi",10,"BR_cell_day",113.904
"32","R.pomeroyi",10,"BR_cell_day",98.256
"33","R.pomeroyi",10,"BR_cell_day",85.368
"34","R.pomeroyi",50,"BR_cell_day",93.408
"35","R.pomeroyi",50,"BR_cell_day",86.064
"36","R.pomeroyi",50,"BR_cell_day",80.928
"37","Dokd_P16",0.6,"BP",14.2848
"38","Dokd_P16",0.6,"BP",23.85
"39","Dokd_P16",0.6,"BP",19.0296
"40","Dokd_P16",10,"BP",62.076
"41","Dokd_P16",10,"BP",38.1799
"42","Dokd_P16",10,"BP",32.9392
"43","Dokd_P16",2,"BP",38.868
"44","Dokd_P16",2,"BP",25.92
"45","Dokd_P16",2,"BP",29.526
