Strain,Cu_level,Cu_prime,pCu,Bio_rep,Growth_rate,BR_cell_hr,BR_cell_hr_stdev,RSD_O2_cell,fmol_C_cell,fmolC_sd,BR_carb_hr,BR_carb_day,BR_carb_err,BR_carb_day_err,BR_cell_day,BR_cell_day_err,BP,BP_error_perc,BP_error,BCD,BCD_error,BGE,BGE_error
Dokd_P16,0.6,4.61,15.49,R2,1.44,2.085,0.247,11.87,9.92,0.496,0.21,5.044,0.027002775,0.648066597,50.04,5.928,14.2848,5,0.71424,64.3248,5.970872866,0.22207298,0.02341397
Dokd_P16,0.6,4.61,15.49,R3,3,1.753,0.313,17.835,7.95,0.398,0.22,5.291,0.040796076,0.979105818,42.072,7.512,23.85,5.006289308,1.194,65.922,7.606298706,0.361791208,0.045504651
Dokd_P16,0.6,4.61,15.49,R4,2.16,1.74,0.211,12.11,8.81,0.441,0.198,4.74,0.025975552,0.623413239,41.76,5.064,19.0296,5.005675369,0.95256,60.7896,5.152811519,0.313040388,0.030816169
Dokd_P16,10,81.43,14.25,R1,7.39,1.257,0.038,3.013,8.4,0.42,0.15,3.59,0.008764283,0.210342788,30.168,0.912,62.076,5,3.1038,92.244,3.235014442,0.672954338,0.041099378
Dokd_P16,10,81.43,14.25,R2,5.69,1.426,0.091,6.4,6.71,0.336,0.213,5.1,0.017277693,0.414664642,34.224,2.184,38.1799,5.007451565,1.91184,72.4039,2.90258302,0.52731828,0.033824771
Dokd_P16,10,81.43,14.25,R3,6.92,1.14,0.122,10.672,4.76,0.238,0.239,5.748,0.028231105,0.677546525,27.36,2.928,32.9392,5,1.64696,60.2992,3.359413824,0.546262637,0.040892685
Dokd_P16,2,19.79,14.86,R1,3.16,1.735,0.686,39.533,12.3,0.615,0.141,3.385,0.056193851,1.348652433,41.64,16.464,38.868,5,1.9434,80.508,16.57830207,0.48278432,0.102304186
Dokd_P16,2,19.79,14.86,R2,2.16,1.76,0.226,12.856,12,0.6,0.147,3.52,0.020256629,0.486159099,42.24,5.424,25.92,5,1.296,68.16,5.576682885,0.38028169,0.036463657
Dokd_P16,2,19.79,14.86,R3,2.59,1.97,0.354,17.947,11.4,0.57,0.173,4.147,0.032268302,0.774439251,47.28,8.496,29.526,5,1.4763,76.806,8.623310135,0.384423092,0.047247196
Dokd_P16,25,204.39,13.85,R1,8.06,3.425,0.021,0.619,6.3,0.315,0.544,13.048,0.027403748,0.657689946,82.2,0.504,50.778,5,2.5389,132.978,2.588441464,0.381852637,0.020488426
Dokd_P16,25,204.39,13.85,R2,9.07,2.865,0.205,7.157,8.59,0.43,0.334,8.005,0.029166613,0.699998715,68.76,4.92,77.9113,5.005820722,3.9001,146.6713,6.278310283,0.531196628,0.034986945
Dokd_P16,25,204.39,13.85,R3,7.2,2.35,0.962,40.922,11.1,0.555,0.212,5.081,0.087429634,2.098311206,56.4,23.088,79.92,5,3.996,136.32,23.43125605,0.586267606,0.104947114
Dokd_P16,50,388.89,13.57,R1,11.952,2.515,0.064,2.53,7.69,0.385,0.327,7.849,0.018364688,0.440752517,60.36,1.536,91.91088,5.006501951,4.60152,152.27088,4.851111451,0.603601161,0.035818864
Dokd_P16,50,388.89,13.57,R2,11.808,2.265,0.049,2.185,6.53,0.327,0.347,8.325,0.018928758,0.454290186,54.36,1.176,77.10624,5.007656968,3.861216,131.46624,4.036330635,0.586509814,0.034451154
Dokd_P16,50,388.89,13.57,R3,12.67,2.42,0.028,1.169,7.22,0.361,0.335,8.044,0.017192619,0.412622845,58.08,0.672,91.4774,5,4.57387,149.5574,4.622972072,0.611654121,0.035955125
PAlt_P26,0.6,4.61,15.49,R1,14.1,17.199,0.493,2.867,23.5,1.175,0.732,17.565,0.042187918,1.01251002,412.776,11.832,331.35,5,16.5675,744.126,20.35873965,0.445287492,0.025379548
PAlt_P26,0.6,4.61,15.49,R2,14.1,18.915,0.732,3.868,26.4,1.32,0.716,17.196,0.045270495,1.086491885,453.96,17.568,372.24,5,18.612,826.2,25.59377205,0.450544662,0.026500368
PAlt_P26,0.6,4.61,15.49,R3,14.4,18.177,0.935,5.144,22.9,1.145,0.794,19.05,0.056957715,1.366985156,436.248,22.44,329.76,5,16.488,766.008,27.84614415,0.430491588,0.026612212
PAlt_P26,10,81.43,14.25,R1,19.3,12.418,1.35,10.869,22.3,1.115,0.557,13.365,0.066650702,1.599616846,298.032,32.4,430.39,5,21.5195,728.422,38.89535808,0.590852555,0.043222032
PAlt_P26,10,81.43,14.25,R2,15.1,12.155,1.216,10,21,1.05,0.579,13.892,0.064755472,1.554131321,291.72,29.184,317.1,5,15.855,608.82,33.21275178,0.520843599,0.038542402
PAlt_P26,10,81.43,14.25,R3,20.6,12.726,1.241,9.749,20.4,1.02,0.624,14.972,0.068382955,1.641190911,305.424,29.784,420.24,5,21.012,725.664,36.44983951,0.579110994,0.041043474
PAlt_P26,25,204.39,13.85,R1,16.8,24.883,10.493,42.168,22.7,1.135,1.096,26.308,0.46541357,11.16992568,597.192,251.832,381.36,5,19.068,978.552,252.5528556,0.389718686,0.102451986
PAlt_P26,25,204.39,13.85,R2,16.7,9.158,0.916,10,22.3,1.115,0.411,9.856,0.045959225,1.103021407,219.792,21.984,372.41,5,18.6205,592.202,28.81005512,0.62885637,0.043870241
PAlt_P26,25,204.39,13.85,R3,17.9,14.54,1.454,10,21.2,1.06,0.686,16.46,0.076697132,1.840731159,348.96,34.896,379.48,5,18.974,728.44,39.72081938,0.520948877,0.038540955
PAlt_P26,50,388.89,13.57,R1,13.7,16.513,2.551,15.451,23.87,1.194,0.692,16.603,0.112367479,2.696819506,396.312,61.224,327.019,5.00209468,16.3578,723.331,63.37156931,0.452101458,0.045610155
PAlt_P26,50,388.89,13.57,R2,13.5,12.416,0.06,0.481,20.6,1.03,0.603,14.466,0.03029049,0.726971763,297.984,1.44,278.1,5,13.905,576.084,13.97936426,0.4827421,0.026829554
PAlt_P26,50,388.89,13.57,R3,18.9,15.901,1.987,12.496,39.3,1.965,0.405,9.71,0.054510014,1.30824033,381.624,47.688,742.77,5,37.1385,1124.394,60.44347381,0.660595841,0.048497634
R.pomeroyi,0.6,4.61,15.49,R1,4.75,6.107,0.636,10.412,16.8,0.84,0.364,8.724,0.042050619,1.009214847,146.568,15.264,79.8,5,3.99,226.368,15.77687536,0.352523325,0.030237975
R.pomeroyi,0.6,4.61,15.49,R2,4.9,7.132,0.035,0.49,18,0.9,0.396,9.51,0.019895141,0.477483377,171.168,0.84,88.2,5,4.41,259.368,4.489287249,0.34005737,0.017992815
R.pomeroyi,0.6,4.61,15.49,R3,6.62,4.763,0.084,1.762,14.6,0.73,0.326,7.829,0.017284231,0.414821553,114.312,2.016,96.652,5,4.8326,210.964,5.236246629,0.458144518,0.0255744
R.pomeroyi,10,81.43,14.25,R1,5.33,4.746,0.862,18.155,15.2,0.76,0.312,7.493,0.058775562,1.410613476,113.904,20.688,81.016,5,4.0508,194.92,21.08085209,0.415637184,0.049523139
R.pomeroyi,10,81.43,14.25,R2,5.47,4.094,0.248,6.062,14.3,0.715,0.286,6.87,0.022464215,0.539141168,98.256,5.952,78.221,5,3.91105,176.477,7.121981192,0.443236229,0.028479924
R.pomeroyi,10,81.43,14.25,R3,5.47,3.557,0.883,24.82,20.5,1.025,0.174,4.164,0.044061713,1.057481102,85.368,21.192,112.135,5,5.60675,197.503,21.92114298,0.567763528,0.069115971
R.pomeroyi,50,388.89,13.57,R1,4.61,3.892,0.287,7.379,14.9,0.745,0.261,6.268,0.023253527,0.558084651,93.408,6.888,68.689,5,3.43445,162.097,7.696751964,0.423752445,0.029219188
R.pomeroyi,50,388.89,13.57,R2,5.33,3.586,0.171,4.767,15.5,0.775,0.231,5.553,0.015960581,0.383053954,86.064,4.104,82.615,5,4.13075,168.679,5.822878288,0.489776439,0.029758354
R.pomeroyi,50,388.89,13.57,R3,6.48,3.372,0.494,14.638,14.6,0.73,0.231,5.542,0.03575834,0.858200165,80.928,11.856,94.608,5,4.7304,175.536,12.76485097,0.538966366,0.047563876
