Ref,Strategy,Domain,Taxon,Species,Cu_prime,Cu_prime_log,Cu_C,Cu_P
Quigg_et_al_2010,Photosynthetic,Euk_algae,Chlorarachniophyceae,Chlorarachnion globosum,2.00E-13,12.7,7.48,0.83
Quigg_et_al_2010,Photosynthetic,Euk_algae,Chlorarachniophyceae,Chlorarachnion reptans,2.00E-13,12.7,4.29,0.3
Quigg_et_al_2010,Photosynthetic,Euk_algae,Euglenophyceae,Eutrepitella sp,2.00E-13,12.7,2.5,0.36
Quigg_et_al_2010,Photosynthetic,Euk_algae,Glaucocytophyceae,Cyanophora paradoxa,2.00E-13,12.7,27.91,1.2
Quigg_et_al_2010,Photosynthetic,Euk_algae,Rhodophyceae,Rhodella maculata,2.00E-13,12.7,2.27,0.4
Quigg_et_al_2010,Photosynthetic,Euk_algae,Rhodophyceae,Rhodosorus marinus,2.00E-13,12.7,1.43,0.11
Quigg_et_al_2010,Photosynthetic,Euk_algae,Rhodophyceae,Porphyridium aerugineum,2.00E-13,12.7,1.17,0.13
Quigg_et_al_2010,Photosynthetic,Euk_algae,Rhodophyceae,Porphyridium purpureum,2.00E-13,12.7,0.71,0.08
Quigg_et_al_2010,Photosynthetic,Euk_algae,Chrysophyceae,Ochromonas sp.,2.00E-13,12.7,4.17,0.5
Quigg_et_al_2010,Photosynthetic,Euk_algae,Cryptophyceae,Rhodomonas salina,2.00E-13,12.7,4.42,1.3
Quigg_et_al_2010,Photosynthetic,Cyanobacteria,Cyanophyceae,Synechococcus sp.,2.00E-13,12.7,12.5,0.65
Quigg_et_al_2010,Photosynthetic,Cyanobacteria,Cyanophyceae,Cyanothece sp,2.00E-13,12.7,7.87,0.48
Quigg_et_al_2010,Photosynthetic,Cyanobacteria,Cyanophyceae,Trichodesmium sp.,2.00E-13,12.7,4.97,0.8
Quigg_et_al_2010,Photosynthetic,Cyanobacteria,Cyanophyceae,Anabaena flosaquae,2.00E-13,12.7,2.24,0.35
Ho_et_al_2003,Photosynthetic,Euk_algae,Chlorophyceae,D.tertiolecta,2.00E-13,12.7,3.02,0.67
Ho_et_al_2003,Photosynthetic,Euk_algae,Prasinophyceae,P.parkae,2.00E-13,12.7,2.97,0.62
Ho_et_al_2003,Photosynthetic,Euk_algae,Chlorophyceae,N.atomus,2.00E-13,12.7,1.33,0.23
Ho_et_al_2003,Photosynthetic,Euk_algae,Prasinophyceae,P.provasoli,2.00E-13,12.7,2.77,0.53
Ho_et_al_2003,Photosynthetic,Euk_algae,Prasinophyceae,Tetraselmis sp,2.00E-13,12.7,2.56,0.51
Ho_et_al_2003,Photosynthetic,Euk_algae,Dinophyceae,G.chlorophorum,2.00E-13,12.7,9.93,1.36
