"","Strain","Cu_level","Me_P","Quota"
"1","Dokd_P16","0.6","Fe_P",3.822525597
"2","Dokd_P16","0.6","Fe_P",3.400673401
"3","Dokd_P16","0.6","Fe_P",5.153005464
"4","Dokd_P16","0.6","Fe_P",6.914893617
"5","Dokd_P16","2","Fe_P",4.144329897
"6","Dokd_P16","2","Fe_P",3.754807692
"7","Dokd_P16","2","Fe_P",3.339534884
"8","Dokd_P16","2","Fe_P",3.632183908
"9","Dokd_P16","2","Fe_P",3.107623318
"10","Dokd_P16","2","Fe_P",3.509433962
"11","Dokd_P16","10","Fe_P",3.833333333
"12","Dokd_P16","10","Fe_P",4.1125
"13","Dokd_P16","10","Fe_P",3.084158416
"14","Dokd_P16","10","Fe_P",4.254587156
"15","Dokd_P16","10","Fe_P",2.413793103
"16","Dokd_P16","10","Fe_P",1.489051095
"17","Dokd_P16","10","Fe_P",1.784482759
"18","Dokd_P16","25","Fe_P",2.633451957
"19","Dokd_P16","25","Fe_P",2.085714286
"20","Dokd_P16","25","Fe_P",3.428571429
"21","Dokd_P16","25","Fe_P",2.218487395
"22","Dokd_P16","25","Fe_P",0.746031746
"23","Dokd_P16","25","Fe_P",5.484848485
"24","Dokd_P16","50","Fe_P",2.236514523
"25","Dokd_P16","50","Fe_P",2.397350993
"26","Dokd_P16","50","Fe_P",2.18079096
"27","R.pomeroyi","0.6","Fe_P",2.193430657
"28","R.pomeroyi","0.6","Fe_P",2.394160584
"29","R.pomeroyi","0.6","Fe_P",2.121495327
"30","R.pomeroyi","2","Fe_P",4.583333333
"31","R.pomeroyi","2","Fe_P",4.717948718
"32","R.pomeroyi","2","Fe_P",6.496062992
"33","R.pomeroyi","2","Fe_P",4.681372549
"34","R.pomeroyi","10","Fe_P",2.404761905
"35","R.pomeroyi","10","Fe_P",2.084805654
"36","R.pomeroyi","10","Fe_P",2.11328976
"37","R.pomeroyi","50","Fe_P",2.355987055
"38","R.pomeroyi","50","Fe_P",2.566878981
"39","R.pomeroyi","50","Fe_P",2.031088083
"40","PAlt_P26","0.6","Fe_P",1.394648829
"41","PAlt_P26","0.6","Fe_P",2.496240602
"42","PAlt_P26","0.6","Fe_P",1.911538462
"43","PAlt_P26","0.6","Fe_P",3.75
"44","PAlt_P26","2","Fe_P",2.413793103
"45","PAlt_P26","2","Fe_P",1.996884735
"46","PAlt_P26","2","Fe_P",2.048780488
"47","PAlt_P26","2","Fe_P",2.08045977
"48","PAlt_P26","10","Fe_P",2.104347826
"49","PAlt_P26","10","Fe_P",2.740434333
"50","PAlt_P26","10","Fe_P",2.393034826
"51","PAlt_P26","50","Fe_P",1.556862745
"52","PAlt_P26","50","Fe_P",2.323809524
"53","PAlt_P26","50","Fe_P",1.97696737
"54","PAlt_P2","0.6","Fe_P",1.99719888
"55","PAlt_P2","0.6","Fe_P",1.593984962
"56","PAlt_P2","0.6","Fe_P",1.581932773
"57","PAlt_P2","0.6","Fe_P",1.685279188
"58","PAlt_P2","10","Fe_P",2.117647059
"59","PAlt_P2","10","Fe_P",1.790769231
"60","PAlt_P2","10","Fe_P",2.033707865
"61","PAlt_P2","25","Fe_P",0.902366864
"62","PAlt_P2","25","Fe_P",1.748251748
"63","PAlt_P2","25","Fe_P",1.626702997
"64","PAlt_P2","25","Fe_P",1.546875
"65","Dokd_P16","0.6","Zn_P",0.645051195
"66","Dokd_P16","0.6","Zn_P",0.538720539
"67","Dokd_P16","0.6","Zn_P",1.830601093
"68","Dokd_P16","0.6","Zn_P",1.425531915
"69","Dokd_P16","2","Zn_P",1.479381443
"70","Dokd_P16","2","Zn_P",1.153846154
"71","Dokd_P16","2","Zn_P",0.902325581
"72","Dokd_P16","2","Zn_P",1.086206897
"73","Dokd_P16","2","Zn_P",0.627802691
"74","Dokd_P16","2","Zn_P",0.666666667
"75","Dokd_P16","10","Zn_P",1.302083333
"76","Dokd_P16","10","Zn_P",0.99375
"77","Dokd_P16","10","Zn_P",0.693069307
"78","Dokd_P16","10","Zn_P",0.989678899
"79","Dokd_P16","10","Zn_P",0.503042596
"80","Dokd_P16","10","Zn_P",0.089781022
"81","Dokd_P16","25","Zn_P",1.046263345
"82","Dokd_P16","25","Zn_P",0.86031746
"83","Dokd_P16","25","Zn_P",0.984126984
"84","Dokd_P16","25","Zn_P",1.260504202
"85","Dokd_P16","25","Zn_P",4.031746032
"86","Dokd_P16","25","Zn_P",5.939393939
"87","Dokd_P16","50","Zn_P",0.176763485
"88","Dokd_P16","50","Zn_P",1.774834437
"89","Dokd_P16","50","Zn_P",0.943502825
"90","R.pomeroyi","0.6","Zn_P",0.689781022
"91","R.pomeroyi","0.6","Zn_P",0.266788321
"92","R.pomeroyi","0.6","Zn_P",3.333333333
"93","R.pomeroyi","2","Zn_P",1.446969697
"94","R.pomeroyi","2","Zn_P",0.652991453
"95","R.pomeroyi","2","Zn_P",1.901574803
"96","R.pomeroyi","2","Zn_P",0.661764706
"97","R.pomeroyi","10","Zn_P",0.645238095
"98","R.pomeroyi","10","Zn_P",0.286219081
"99","R.pomeroyi","10","Zn_P",0.459694989
"100","R.pomeroyi","50","Zn_P",0.530744337
"101","R.pomeroyi","50","Zn_P",0.780254777
"102","R.pomeroyi","50","Zn_P",0.258549223
"103","PAlt_P26","0.6","Zn_P",0.856187291
"104","PAlt_P26","0.6","Zn_P",1.473684211
"105","PAlt_P26","0.6","Zn_P",1.561538462
"106","PAlt_P26","0.6","Zn_P",2.518181818
"107","PAlt_P26","2","Zn_P",3.155172414
"108","PAlt_P26","2","Zn_P",1.445482866
"109","PAlt_P26","2","Zn_P",1.31402439
"110","PAlt_P26","2","Zn_P",2.298850575
"111","PAlt_P26","10","Zn_P",0.943478261
"112","PAlt_P26","10","Zn_P",0.917269907
"113","PAlt_P26","10","Zn_P",1.139303483
